PrijsID	Prijs	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-17122019	
1	Libris Literatuur Prijs	https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191126211325/https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik
1	Libris Literatuur Prijs	https://www.literatuurplein.nl/litprijs.jsp?litPrijsId=1	http://web.archive.org/web/20191129213209/https://www.literatuurplein.nl/litprijs?litPrijsId=1	200	Klik
1	Libris Literatuur Prijs	https://www.literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191129105611/https://www.literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik
2	AKO-Literatuurprijs	https://literatuurplein.nl/detail/literaireprijs/ako-literatuurprijs/2	http://web.archive.org/web/20191126210354/https://literatuurplein.nl/detail/literaireprijs/ako-literatuurprijs/2	200	Klik
2	AKO-Literatuurprijs	https://www.literatuurplein.nl/litprijs.jsp?litPrijsId=2	http://web.archive.org/web/20191129213404/https://www.literatuurplein.nl/litprijs?litPrijsId=2	200	Klik
2	AKO-Literatuurprijs	https://www.literatuurplein.nl/litprijs?litPrijsId=2	http://web.archive.org/web/20191129213851/https://www.literatuurplein.nl/litprijs?litPrijsId=2	200	Klik
2	AKO-Literatuurprijs	https://www.literatuurplein.nl/detail/literaireprijs/ako-literatuurprijs/2	http://web.archive.org/web/20191129105227/https://www.literatuurplein.nl/detail/literaireprijs/ako-literatuurprijs/2	200	Klik
3	Gouden Uil Literatuurprijs	https://literatuurplein.nl/detail/literaireprijs/gouden-uil-literatuurprijs/3	http://web.archive.org/web/20191126210954/https://literatuurplein.nl/detail/literaireprijs/gouden-uil-literatuurprijs/3	200	Klik
3	Gouden Uil Literatuurprijs	https://www.literatuurplein.nl/litprijs.jsp?litPrijsId=3	http://web.archive.org/web/20191129213455/https://www.literatuurplein.nl/litprijs?litPrijsId=3	200	Klik
3	Gouden Uil Literatuurprijs	https://www.literatuurplein.nl/detail/literaireprijs/gouden-uil-literatuurprijs/3	http://web.archive.org/web/20191129105522/https://www.literatuurplein.nl/detail/literaireprijs/gouden-uil-literatuurprijs/3	200	Klik
4	Nobelprijs voor literatuur	https://literatuurplein.nl/detail/literaireprijs/nobelprijs-voor-literatuur/4	http://web.archive.org/web/20191126211451/https://literatuurplein.nl/detail/literaireprijs/nobelprijs-voor-literatuur/4	200	Klik
4	Nobelprijs voor literatuur	https://www.literatuurplein.nl/litprijs.jsp?litPrijsId=4	http://web.archive.org/web/20191129213516/https://www.literatuurplein.nl/litprijs?litPrijsId=4	200	Klik
4	Nobelprijs voor literatuur	https://www.literatuurplein.nl/litprijs?litPrijsId=4	http://web.archive.org/web/20191129213857/https://www.literatuurplein.nl/litprijs?litPrijsId=4	200	Klik
4	Nobelprijs voor literatuur	https://www.literatuurplein.nl/detail/literaireprijs/nobelprijs-voor-literatuur/4	http://web.archive.org/web/20191129105636/https://www.literatuurplein.nl/detail/literaireprijs/nobelprijs-voor-literatuur/4	200	Klik
5	Gouden Uil Jeugdliteratuurprijs	https://literatuurplein.nl/detail/literaireprijs/gouden-uil-jeugdliteratuurprijs/5	http://web.archive.org/web/20191126210947/https://literatuurplein.nl/detail/literaireprijs/gouden-uil-jeugdliteratuurprijs/5	200	Klik
5	Gouden Uil Jeugdliteratuurprijs	https://www.literatuurplein.nl/litprijs.jsp?litPrijsId=5	http://web.archive.org/web/20191129213546/https://www.literatuurplein.nl/litprijs?litPrijsId=5	200	Klik
5	Gouden Uil Jeugdliteratuurprijs	https://www.literatuurplein.nl/detail/literaireprijs/gouden-uil-jeugdliteratuurprijs/5	http://web.archive.org/web/20191129105516/https://www.literatuurplein.nl/detail/literaireprijs/gouden-uil-jeugdliteratuurprijs/5	200	Klik
6	P.C. Hooft-prijs	https://literatuurplein.nl/detail/literaireprijs/p-c-hooft-prijs/6	http://web.archive.org/web/20191126211516/https://literatuurplein.nl/detail/literaireprijs/p-c-hooft-prijs/6	200	Klik
6	P.C. Hooft-prijs	https://www.literatuurplein.nl/litprijs.jsp?litPrijsId=6	http://web.archive.org/web/20191129213627/https://www.literatuurplein.nl/litprijs?litPrijsId=6	200	Klik
6	P.C. Hooft-prijs	https://www.literatuurplein.nl/detail/literaireprijs/p-c-hooft-prijs/6	http://web.archive.org/web/20191129105649/https://www.literatuurplein.nl/detail/literaireprijs/p-c-hooft-prijs/6	200	Klik
7	Theo Thijssen-prijs	https://literatuurplein.nl/detail/literaireprijs/theo-thijssen-prijs/7	http://web.archive.org/web/20191126211630/https://literatuurplein.nl/detail/literaireprijs/theo-thijssen-prijs/7	200	Klik
7	Theo Thijssen-prijs	https://www.literatuurplein.nl/litprijs.jsp?litPrijsId=7	http://web.archive.org/web/20191129213706/https://www.literatuurplein.nl/litprijs?litPrijsId=7	200	Klik
7	Theo Thijssen-prijs	https://www.literatuurplein.nl/detail/literaireprijs/theo-thijssen-prijs/7	http://web.archive.org/web/20191129105710/https://www.literatuurplein.nl/detail/literaireprijs/theo-thijssen-prijs/7	200	Klik
8	Max Velthuijs-prijs	https://literatuurplein.nl/detail/literaireprijs/max-velthuijs-prijs/8	http://web.archive.org/web/20191126211356/https://literatuurplein.nl/detail/literaireprijs/max-velthuijs-prijs/8	200	Klik
10	Constantijn Huygens-prijs	https://literatuurplein.nl/detail/literaireprijs/constantijn-huygens-prijs/10	http://web.archive.org/web/20191126210730/https://literatuurplein.nl/detail/literaireprijs/constantijn-huygens-prijs/10	200	Klik
10	Constantijn Huygens-prijs	https://www.literatuurplein.nl/litprijs.jsp?litPrijsId=10	http://web.archive.org/web/20191129213216/https://www.literatuurplein.nl/litprijs?litPrijsId=10	200	Klik
10	Constantijn Huygens-prijs	https://www.literatuurplein.nl/detail/literaireprijs/constantijn-huygens-prijs/10	http://web.archive.org/web/20191129105352/https://www.literatuurplein.nl/detail/literaireprijs/constantijn-huygens-prijs/10	200	Klik
12	Jan Campert-prijs	https://literatuurplein.nl/detail/literaireprijs/jan-campert-prijs/12	http://web.archive.org/web/20191126211147/https://literatuurplein.nl/detail/literaireprijs/jan-campert-prijs/12	200	Klik
12	Jan Campert-prijs	https://www.literatuurplein.nl/litprijs.jsp?litPrijsId=12	http://web.archive.org/web/20191129213329/https://www.literatuurplein.nl/litprijs?litPrijsId=12	200	Klik
13	F. Bordewijk-prijs	https://literatuurplein.nl/detail/literaireprijs/f-bordewijk-prijs/13	http://web.archive.org/web/20191126210839/https://literatuurplein.nl/detail/literaireprijs/f-bordewijk-prijs/13	200	Klik
13	F. Bordewijk-prijs	https://www.literatuurplein.nl/litprijs.jsp?litPrijsId=13	http://web.archive.org/web/20191129213336/https://www.literatuurplein.nl/litprijs?litPrijsId=13	200	Klik
