PrijsID	Prijs	PrijsURL	PrijsArchiefURL	PrijsArchiefURLStatusCheck-17122019		Prijseditie	PrijseditieID	PrijseditieURL	PrijseditieArchiefURL	PrijseditieArchiefURLStatusCheck-17122019	
1	Libris Literatuur Prijs	https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191126211325/https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik	Libris Literatuur Prijs 2006	1	https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2006/1	http://web.archive.org/web/20191126232005/https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2006/1	200	Klik
1	Libris Literatuur Prijs	https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191126211325/https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik	Libris Literatuur Prijs 2005	4	https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2005/4	http://web.archive.org/web/20191126231958/https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2005/4	200	Klik
1	Libris Literatuur Prijs	https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191126211325/https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik	Libris Literatuur Prijs 2007	5	https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2007/5	http://web.archive.org/web/20191126232011/https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2007/5	200	Klik
1	Libris Literatuur Prijs	https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191126211325/https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik	Libris Literatuur Prijs 2004	6	https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2004/6	http://web.archive.org/web/20191126231952/https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2004/6	200	Klik
1	Libris Literatuur Prijs	https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191126211325/https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik	Libris Literatuur Prijs 2003	7	https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2003/7	http://web.archive.org/web/20191126231945/https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2003/7	200	Klik
1	Libris Literatuur Prijs	https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191126211325/https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik	Libris Literatuur Prijs 2002	9	https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2002/9	http://web.archive.org/web/20191126231938/https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2002/9	200	Klik
1	Libris Literatuur Prijs	https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191126211325/https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik	Libris Literatuur Prijs 2008	10	https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2008/10	http://web.archive.org/web/20191126232017/https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2008/10	200	Klik
1	Libris Literatuur Prijs	https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191126211325/https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik	Libris Literatuur Prijs 2009	308	https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2009/308	http://web.archive.org/web/20191126232024/https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2009/308	200	Klik
1	Libris Literatuur Prijs	https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191126211325/https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik	Libris Literatuur Prijs 2001	525	https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2001/525	http://web.archive.org/web/20191126231932/https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2001/525	200	Klik
1	Libris Literatuur Prijs	https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191126211325/https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik	Libris Literatuur Prijs 2000	526	https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2000/526	http://web.archive.org/web/20191126231926/https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-2000/526	200	Klik
1	Libris Literatuur Prijs	https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	http://web.archive.org/web/20191126211325/https://literatuurplein.nl/detail/literaireprijs/libris-literatuur-prijs/1	200	Klik	Libris Literatuur Prijs 1999	527	https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-1999/527	http://web.archive.org/web/20191126231920/https://literatuurplein.nl/detail/literaireprijseditie/libris-literatuur-prijs-1999/527	200	Klik
