ID	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019		
4689	https://www.literatuurplein.nl/detail/leestip/billie-seb/4689	http://web.archive.org/web/20191129104602/https://www.literatuurplein.nl/detail/leestip/billie-seb/4689	200	Klik	
4709	https://www.literatuurplein.nl/detail/leestip/masser-brock/4709	http://web.archive.org/web/20191129105020/https://www.literatuurplein.nl/detail/leestip/masser-brock/4709	200	Klik	
4729	https://www.literatuurplein.nl/detail/leestip/de-dood-van-murat-idrissi/4729	http://web.archive.org/web/20191129104704/https://www.literatuurplein.nl/detail/leestip/de-dood-van-murat-idrissi/4729	200	Klik	
4730	https://www.literatuurplein.nl/detail/leestip/pauwl/4730	http://web.archive.org/web/20191129105050/https://www.literatuurplein.nl/detail/leestip/pauwl/4730	200	Klik	
4749	https://www.literatuurplein.nl/detail/leestip/de-verrader/4749	http://web.archive.org/web/20191129104807/https://www.literatuurplein.nl/detail/leestip/de-verrader/4749	200	Klik	
4769	https://www.literatuurplein.nl/detail/leestip/de-laatste-deur/4769	http://web.archive.org/web/20191129104748/https://www.literatuurplein.nl/detail/leestip/de-laatste-deur/4769	200	Klik	
4789	https://www.literatuurplein.nl/detail/leestip/het-tweede-bestand/4789	http://web.archive.org/web/20191129104936/https://www.literatuurplein.nl/detail/leestip/het-tweede-bestand/4789	200	Klik	
4809	https://www.literatuurplein.nl/detail/leestip/de-bijbel-voor-ongelovigen/4809	http://web.archive.org/web/20191129104658/https://www.literatuurplein.nl/detail/leestip/de-bijbel-voor-ongelovigen/4809	200	Klik	
4810	https://www.literatuurplein.nl/detail/leestip/de-wereld-waar-ik-buiten-sta/4810	http://web.archive.org/web/20191129104813/https://www.literatuurplein.nl/detail/leestip/de-wereld-waar-ik-buiten-sta/4810	200	Klik	
4829	https://www.literatuurplein.nl/detail/leestip/fuzzie/4829	http://web.archive.org/web/20191129104908/https://www.literatuurplein.nl/detail/leestip/fuzzie/4829	200	Klik	
4849	https://www.literatuurplein.nl/detail/leestip/in-het-buitengebied/4849	http://web.archive.org/web/20191129104955/https://www.literatuurplein.nl/detail/leestip/in-het-buitengebied/4849	200	Klik	
4850	https://www.literatuurplein.nl/detail/leestip/van-kleine-helden/4850	http://web.archive.org/web/20191129105133/https://www.literatuurplein.nl/detail/leestip/van-kleine-helden/4850	200	Klik	
4869	https://www.literatuurplein.nl/detail/leestip/het-tegenovergestelde-van-een-mens/4869	http://web.archive.org/web/20191129104929/https://www.literatuurplein.nl/detail/leestip/het-tegenovergestelde-van-een-mens/4869	200	Klik	
4870	https://www.literatuurplein.nl/detail/leestip/elementaire-deeltjes/4870	http://web.archive.org/web/20191129104850/https://www.literatuurplein.nl/detail/leestip/elementaire-deeltjes/4870	200	Klik	
4889	https://www.literatuurplein.nl/detail/leestip/poetica/4889	http://web.archive.org/web/20191129105056/https://www.literatuurplein.nl/detail/leestip/poetica/4889	200	Klik	
4909	https://www.literatuurplein.nl/detail/leestip/de-zee-een-spiegel/4909	http://web.archive.org/web/20191129104819/https://www.literatuurplein.nl/detail/leestip/de-zee-een-spiegel/4909	200	Klik	
4929	https://www.literatuurplein.nl/detail/leestip/exit-west/4929	http://web.archive.org/web/20191129104902/https://www.literatuurplein.nl/detail/leestip/exit-west/4929	200	Klik	
4930	https://www.literatuurplein.nl/detail/leestip/de-familie-mann/4930	http://web.archive.org/web/20191129104717/https://www.literatuurplein.nl/detail/leestip/de-familie-mann/4930	200	Klik	
4949	https://www.literatuurplein.nl/detail/leestip/speeldrift/4949	http://web.archive.org/web/20191129105115/https://www.literatuurplein.nl/detail/leestip/speeldrift/4949	200	Klik	
4969	https://www.literatuurplein.nl/detail/leestip/poubelle/4969	http://web.archive.org/web/20191129105102/https://www.literatuurplein.nl/detail/leestip/poubelle/4969	200	Klik	
4989	https://www.literatuurplein.nl/detail/leestip/het-monster-van-essex/4989	http://web.archive.org/web/20191129104922/https://www.literatuurplein.nl/detail/leestip/het-monster-van-essex/4989	200	Klik	
5009	https://www.literatuurplein.nl/detail/leestip/parttime-astronaut/5009	http://web.archive.org/web/20191129105044/https://www.literatuurplein.nl/detail/leestip/parttime-astronaut/5009	200	Klik	
5029	https://www.literatuurplein.nl/detail/leestip/vergeet-de-meisjes/5029	http://web.archive.org/web/20191129105139/https://www.literatuurplein.nl/detail/leestip/vergeet-de-meisjes/5029	200	Klik	
5049	https://www.literatuurplein.nl/detail/leestip/brood-zout-wijn/5049	http://web.archive.org/web/20191129104616/https://www.literatuurplein.nl/detail/leestip/brood-zout-wijn/5049	200	Klik	
5069	https://www.literatuurplein.nl/detail/leestip/de-heilige-rita/5069	http://web.archive.org/web/20191129104735/https://www.literatuurplein.nl/detail/leestip/de-heilige-rita/5069	200	Klik	
5089	https://www.literatuurplein.nl/detail/leestip/de-pelikaan/5089	http://web.archive.org/web/20191129104754/https://www.literatuurplein.nl/detail/leestip/de-pelikaan/5089	200	Klik	
5109	https://www.literatuurplein.nl/detail/leestip/duizend-en-een-nachtmerries/5109	http://web.archive.org/web/20191129104844/https://www.literatuurplein.nl/detail/leestip/duizend-en-een-nachtmerries/5109	200	Klik	
5129	https://www.literatuurplein.nl/detail/leestip/wees-onzichtbaar/5129	http://web.archive.org/web/20191129105203/https://www.literatuurplein.nl/detail/leestip/wees-onzichtbaar/5129	200	Klik	
5149	https://www.literatuurplein.nl/detail/leestip/spiegel-spiegel-schouder/5149	http://web.archive.org/web/20191129105121/https://www.literatuurplein.nl/detail/leestip/spiegel-spiegel-schouder/5149	200	Klik	
5169	https://www.literatuurplein.nl/detail/leestip/de-avond-is-ongemak/5169	http://web.archive.org/web/20191129104652/https://www.literatuurplein.nl/detail/leestip/de-avond-is-ongemak/5169	200	Klik	
5189	https://www.literatuurplein.nl/detail/leestip/dagelijks-werk/5189	http://web.archive.org/web/20191129104634/https://www.literatuurplein.nl/detail/leestip/dagelijks-werk/5189	200	Klik	
