OrgID	Adres	Provincie-Land	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-05122019	
13			https://www.literatuurplein.nl/detail/organisatie/cantecleer/13	http://web.archive.org/web/20191129113800/https://www.literatuurplein.nl/detail/organisatie/cantecleer/13	200	Klik
13			https://www.literatuurplein.nl/organisatie.jsp?orgId=13	http://web.archive.org/web/20191129232222/https://www.literatuurplein.nl/organisatie?orgId=13	200	Klik
27			https://www.literatuurplein.nl/organisatie.jsp?orgId=27	http://web.archive.org/web/20191129233324/https://www.literatuurplein.nl/organisatie?orgId=27	200	Klik
29			https://www.literatuurplein.nl/detail/organisatie/anwb/29	http://web.archive.org/web/20191129113616/https://www.literatuurplein.nl/detail/organisatie/anwb/29	200	Klik
35			https://www.literatuurplein.nl/detail/organisatie/ten-have/35	http://web.archive.org/web/20191129114656/https://www.literatuurplein.nl/detail/organisatie/ten-have/35	200	Klik
35			https://www.literatuurplein.nl/organisatie.jsp?orgId=35	http://web.archive.org/web/20191129233544/https://www.literatuurplein.nl/organisatie?orgId=35	200	Klik
37			https://www.literatuurplein.nl/detail/organisatie/friese-pers-boekerij/37	http://web.archive.org/web/20191129114116/https://www.literatuurplein.nl/detail/organisatie/friese-pers-boekerij/37	200	Klik
48			https://www.literatuurplein.nl/detail/organisatie/van-goor/48	http://web.archive.org/web/20191129114847/https://www.literatuurplein.nl/detail/organisatie/van-goor/48	200	Klik
49			https://www.literatuurplein.nl/detail/organisatie/altamira/49	http://web.archive.org/web/20191129113544/https://www.literatuurplein.nl/detail/organisatie/altamira/49	200	Klik
49			https://www.literatuurplein.nl/organisatie.jsp?orgId=49	http://web.archive.org/web/20191129233913/https://www.literatuurplein.nl/organisatie?orgId=49	200	Klik
55	Ambo|Anthos uitgevers, Herengracht 499, Amsterdam	Noord-Holland	https://literatuurplein.nl/detail/organisatie/ambo-anthos-uitgevers/55	http://web.archive.org/web/20191130220941/https://literatuurplein.nl/detail/organisatie/ambo-anthos-uitgevers/55	200	Klik
55	Ambo|Anthos uitgevers, Herengracht 499, Amsterdam	Noord-Holland	https://www.literatuurplein.nl/detail/organisatie/ambo-anthos-uitgevers/55	http://web.archive.org/web/20191129113556/https://www.literatuurplein.nl/detail/organisatie/ambo-anthos-uitgevers/55	200	Klik
55	Ambo|Anthos uitgevers, Herengracht 499, Amsterdam	Noord-Holland	https://www.literatuurplein.nl/organisatie.jsp?orgId=55	http://web.archive.org/web/20191129233956/https://www.literatuurplein.nl/organisatie?orgId=55	200	Klik
56			https://www.literatuurplein.nl/organisatie.jsp?orgId=56	http://web.archive.org/web/20191129234003/https://www.literatuurplein.nl/organisatie?orgId=56	200	Klik
63			https://www.literatuurplein.nl/detail/organisatie/bohn-stafleu-van-loghum/63	http://web.archive.org/web/20191129113729/https://www.literatuurplein.nl/detail/organisatie/bohn-stafleu-van-loghum/63	200	Klik
63			https://www.literatuurplein.nl/organisatie.jsp?orgId=63	http://web.archive.org/web/20191129234209/https://www.literatuurplein.nl/organisatie?orgId=63	200	Klik
65	Davidsfonds vzw, Blijde-Inkomststraat 79-81, Leuven (België)	Belgie	https://literatuurplein.nl/detail/organisatie/davidsfonds-vzw/65	http://web.archive.org/web/20191203143016/https://literatuurplein.nl/detail/organisatie/davidsfonds-vzw/65	200	Klik
65	Davidsfonds vzw, Blijde-Inkomststraat 79-81, Leuven (België)	Belgie	https://www.literatuurplein.nl/detail/organisatie/davidsfonds-vzw/65	http://web.archive.org/web/20191129113832/https://www.literatuurplein.nl/detail/organisatie/davidsfonds-vzw/65	200	Klik
71			https://www.literatuurplein.nl/detail/organisatie/uitgeverij-schors/71	http://web.archive.org/web/20191129114835/https://www.literatuurplein.nl/detail/organisatie/uitgeverij-schors/71	200	Klik
