LocatieID	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
1	https://www.literatuurplein.nl/detail/wereldkaart/wereld/1	http://web.archive.org/web/20191129182647/https://www.literatuurplein.nl/detail/wereldkaart/wereld/1	200	Klik
1	https://www.literatuurplein.nl/wereldkaart.jsp?loc=1	http://web.archive.org/web/20191130202921/https://www.literatuurplein.nl/wereldkaart/?loc=1	200	Klik
2	https://www.literatuurplein.nl/detail/wereldkaart/afrika/2	http://web.archive.org/web/20191129180835/https://www.literatuurplein.nl/detail/wereldkaart/afrika/2	200	Klik
2	https://www.literatuurplein.nl/wereldkaart.jsp?loc=2	http://web.archive.org/web/20191130204521/https://www.literatuurplein.nl/wereldkaart/?loc=2	200	Klik
2	https://www.literatuurplein.nl/wereldkaart/?loc=2	http://web.archive.org/web/20191130212347/https://www.literatuurplein.nl/wereldkaart/?loc=2	200	Klik
3	https://www.literatuurplein.nl/detail/wereldkaart/algerije/3	http://web.archive.org/web/20191129180847/https://www.literatuurplein.nl/detail/wereldkaart/algerije/3	200	Klik
3	https://www.literatuurplein.nl/wereldkaart.jsp?loc=3	http://web.archive.org/web/20191130205529/https://www.literatuurplein.nl/wereldkaart/?loc=3	200	Klik
5	https://www.literatuurplein.nl/wereldkaart.jsp?loc=5	http://web.archive.org/web/20191130211119/https://www.literatuurplein.nl/wereldkaart/?loc=5	200	Klik
7	https://www.literatuurplein.nl/wereldkaart.jsp?loc=7	http://web.archive.org/web/20191130211927/https://www.literatuurplein.nl/wereldkaart/?loc=7	200	Klik
9	https://www.literatuurplein.nl/wereldkaart.jsp?loc=9	http://web.archive.org/web/20191130212020/https://www.literatuurplein.nl/wereldkaart/?loc=9	200	Klik
11	https://www.literatuurplein.nl/wereldkaart/?loc=11	http://web.archive.org/web/20191130212213/https://www.literatuurplein.nl/wereldkaart/?loc=11	200	Klik
15	https://www.literatuurplein.nl/wereldkaart.jsp?loc=15	http://web.archive.org/web/20191130203627/https://www.literatuurplein.nl/wereldkaart/?loc=15	200	Klik
21	https://www.literatuurplein.nl/detail/wereldkaart/egypte/21	http://web.archive.org/web/20191129181357/https://www.literatuurplein.nl/detail/wereldkaart/egypte/21	200	Klik
21	https://www.literatuurplein.nl/wereldkaart.jsp?loc=21	http://web.archive.org/web/20191130204702/https://www.literatuurplein.nl/wereldkaart/?loc=21	200	Klik
21	https://www.literatuurplein.nl/wereldkaart/?loc=21	http://web.archive.org/web/20191130212359/https://www.literatuurplein.nl/wereldkaart/?loc=21	200	Klik
25	https://www.literatuurplein.nl/wereldkaart.jsp?loc=25	http://web.archive.org/web/20191130205254/https://www.literatuurplein.nl/wereldkaart/?loc=25	200	Klik
27	https://www.literatuurplein.nl/wereldkaart.jsp?loc=27	http://web.archive.org/web/20191130205420/https://www.literatuurplein.nl/wereldkaart/?loc=27	200	Klik
27	https://www.literatuurplein.nl/wereldkaart/?loc=27	http://web.archive.org/web/20191130212430/https://www.literatuurplein.nl/wereldkaart/?loc=27	200	Klik
29	https://www.literatuurplein.nl/wereldkaart.jsp?loc=29	http://web.archive.org/web/20191130205450/https://www.literatuurplein.nl/wereldkaart/?loc=29	200	Klik
31	https://www.literatuurplein.nl/wereldkaart.jsp?loc=31	http://web.archive.org/web/20191130205633/https://www.literatuurplein.nl/wereldkaart/?loc=31	200	Klik
33	https://www.literatuurplein.nl/detail/wereldkaart/ghana/33	http://web.archive.org/web/20191129181449/https://www.literatuurplein.nl/detail/wereldkaart/ghana/33	200	Klik
33	https://www.literatuurplein.nl/wereldkaart.jsp?loc=33	http://web.archive.org/web/20191130205806/https://www.literatuurplein.nl/wereldkaart/?loc=33	200	Klik
37	https://www.literatuurplein.nl/wereldkaart.jsp?loc=37	http://web.archive.org/web/20191130210115/https://www.literatuurplein.nl/wereldkaart/?loc=37	200	Klik
39	https://www.literatuurplein.nl/wereldkaart.jsp?loc=39	http://web.archive.org/web/20191130210234/https://www.literatuurplein.nl/wereldkaart/?loc=39	200	Klik
41	https://www.literatuurplein.nl/detail/wereldkaart/kaapverdie/41	http://web.archive.org/web/20191129181721/https://www.literatuurplein.nl/detail/wereldkaart/kaapverdie/41	200	Klik
41	https://www.literatuurplein.nl/wereldkaart.jsp?loc=41	http://web.archive.org/web/20191130210351/https://www.literatuurplein.nl/wereldkaart/?loc=41	200	Klik
41	https://www.literatuurplein.nl/wereldkaart/?loc=41	http://web.archive.org/web/20191130212725/https://www.literatuurplein.nl/wereldkaart/?loc=41	200	Klik
45	https://www.literatuurplein.nl/wereldkaart.jsp?loc=45	http://web.archive.org/web/20191130210635/https://www.literatuurplein.nl/wereldkaart/?loc=45	200	Klik
