ID	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-03122019	
350	https://literatuurplein.nl/detail/column/de-grote-drie-en-de-asielzoeker-des-vaderlands/350	http://web.archive.org/web/20191203180550/https://literatuurplein.nl/detail/column/de-grote-drie-en-de-asielzoeker-des-vaderlands/350	200	Klik
352	https://literatuurplein.nl/detail/column/uitzonderlijke-schrijvers/352	http://web.archive.org/web/20191203180624/https://literatuurplein.nl/detail/column/uitzonderlijke-schrijvers/352	200	Klik
355	https://literatuurplein.nl/detail/column/k-van-kanarie/355	http://web.archive.org/web/20191203180602/https://literatuurplein.nl/detail/column/k-van-kanarie/355	200	Klik
359	https://literatuurplein.nl/detail/column/don-quichot/359	http://web.archive.org/web/20191203180539/https://literatuurplein.nl/detail/column/don-quichot/359	200	Klik
362	https://literatuurplein.nl/detail/column/meneer-kopland/362	http://web.archive.org/web/20191203180528/https://literatuurplein.nl/detail/column/meneer-kopland/362	200	Klik
364	https://literatuurplein.nl/detail/column/het-lezende-land/364	http://web.archive.org/web/20191203180517/https://literatuurplein.nl/detail/column/het-lezende-land/364	200	Klik
366	https://literatuurplein.nl/detail/column/de-morele-afdaling-van-mijn-pen/366	http://web.archive.org/web/20191203180506/https://literatuurplein.nl/detail/column/de-morele-afdaling-van-mijn-pen/366	200	Klik
369	https://literatuurplein.nl/detail/column/de-hel/369	http://web.archive.org/web/20191203180443/https://literatuurplein.nl/detail/column/de-hel/369	200	Klik
372	https://literatuurplein.nl/detail/column/reizende-bibliotheek/372	http://web.archive.org/web/20191203180455/https://literatuurplein.nl/detail/column/reizende-bibliotheek/372	200	Klik
375	https://literatuurplein.nl/detail/column/what-it-means-when-a-man-falls-from-the-sky/375	http://web.archive.org/web/20191203180421/https://literatuurplein.nl/detail/column/what-it-means-when-a-man-falls-from-the-sky/375	200	Klik
376	https://literatuurplein.nl/detail/column/koch-/376	http://web.archive.org/web/20191203180804/https://literatuurplein.nl/detail/column/koch-/376	200	Klik
378	https://literatuurplein.nl/detail/column/de-aanklacht/378	http://web.archive.org/web/20191203180337/https://literatuurplein.nl/detail/column/de-aanklacht/378	200	Klik
